model,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std,test_mae_log,test_mae_eur,test_mape,test_r2
"XGBoost (final, early stopping)",0.24446068858285025,0.003255427408481633,0.7545851599852431,0.01228874745294453,0.22897744979709625,34.56569453790616,23.646790790263513,0.7824013935976499
"LightGBM (final, n=500)",0.24924191184921174,0.0034248385124171863,0.7463645520247817,0.012261397203354105,0.23655303915899917,35.880101564867886,24.374415806546203,0.7722225637971344
RidgeCV,0.3127663462702193,0.005497915953896941,0.6152506539395847,0.01800679178512839,0.31210963941349995,46.01005037369067,32.521308033615306,0.6234521212272066
OLS (Ridge α=0.01),0.31278373007328,0.00548702716324762,0.6152169725892993,0.017987473599625513,0.3121371605775487,46.01222612007466,32.518137692964004,0.6234188044481264
LassoCV,0.3128217945817017,0.005612260215028565,0.6149218988850775,0.01838257576035886,0.31195866917445964,46.01010974445905,32.5746449752594,0.6229150823366714
